"name","pokedex_number","generation","no_in_generation","percentage_in_generation","abilities","type1","type2","weight_kg","is_legendary","Hp","attack","sp_attack","defense","sp_defense","speed","base_total","base_egg_steps","base_happiness","capture_rate","experience_growth","height_m","percentage_male","base_experience","egg_cycles","can_evolve","evolves_from","evolves_to","evolution_stages","shape","color","egg_groups"
"Marowak",105,1,105,0.695364238410596,"['Rock Head', 'Lightningrod', 'Battle Armor', 'Cursed Body', 'Lightningrod', 'Rock Head']","ground","fire",\N,false,60,80,50,110,80,45,425,5120,70,"75","Medium Fast",\N,50,149,20,false,"Cubone","[]",1,"Upright","Brown","['monster']"
"Hitmonlee",106,1,106,0.7019867549668874,"['Limber', 'Reckless', 'Unburden']","fighting",\N,49.8,false,50,120,35,53,110,87,455,6400,70,"45","Medium Fast",1.5,100,159,25,false,"Tyrogue","[]",1,"Humanoid","Brown","['human-like']"
"Hitmonchan",107,1,107,0.7086092715231788,"['Keen Eye', 'Iron Fist', 'Inner Focus']","fighting",\N,50.2,false,50,105,35,79,110,76,455,6400,70,"45","Medium Fast",1.4,100,159,25,false,"Tyrogue","[]",1,"Humanoid","Brown","['human-like']"
"Lickitung",108,1,108,0.7152317880794702,"['Own Tempo', 'Oblivious', 'Cloud Nine']","normal",\N,65.5,false,90,55,60,75,75,30,385,5120,70,"45","Medium Fast",1.2,50,77,20,true,\N,"['Lickilicky']",1,"Upright","Pink","['monster']"
"Koffing",109,1,109,0.7218543046357616,"['Levitate']","poison",\N,1,false,40,65,60,95,45,35,340,5120,70,"190","Medium Fast",0.6,50,68,20,true,\N,"['Weezing']",1,"Ball","Purple","['amorphous']"
"Weezing",110,1,110,0.7284768211920529,"['Levitate']","poison",\N,9.5,false,65,90,85,120,70,60,490,5120,70,"60","Medium Fast",1.2,50,172,20,false,"Koffing","[]",1,"Heads","Purple","['amorphous']"
"Rhyhorn",111,1,111,0.7350993377483444,"['Lightningrod', 'Rock Head', 'Reckless']","ground","rock",115,false,80,85,30,95,30,25,345,5120,70,"120","Slow",1,50,69,20,true,\N,"['Rhydon']",2,"Quadruped","Gray","['monster','field']"
"Rhydon",112,1,112,0.7417218543046358,"['Lightningrod', 'Rock Head', 'Reckless']","ground","rock",120,false,105,130,45,120,45,40,485,5120,70,"60","Slow",1.9,50,170,20,true,"Rhyhorn","['Rhyperior']",2,"Upright","Gray","['monster','field']"
"Chansey",113,1,113,0.7483443708609272,"['Natural Cure', 'Serene Grace', 'Healer']","normal",\N,34.6,false,250,5,35,5,105,50,450,10240,140,"30","Fast",1.1,0,395,40,true,"Happiny","['Blissey']",2,"Upright","Pink","['fairy']"
"Tangela",114,1,114,0.7549668874172185,"['Chlorophyll', 'Leaf Guard', 'Regenerator']","grass",\N,35,false,65,55,100,115,40,60,435,5120,70,"45","Medium Fast",1,50,87,20,true,\N,"['Tangrowth']",1,"Legs","Blue","['grass']"
"Kangaskhan",115,1,115,0.7615894039735099,"['Early Bird', 'Scrappy', 'Inner Focus']","normal",\N,80,false,105,95,40,80,80,90,490,5120,70,"45","Medium Fast",2.2,0,172,20,false,\N,"[]",0,"Upright","Brown","['monster']"
"Horsea",116,1,116,0.7682119205298014,"['Swift Swim', 'Sniper', 'Damp']","water",\N,8,false,30,40,70,70,25,60,295,5120,70,"225","Medium Fast",0.4,50,59,20,true,\N,"['Seadra']",2,"Blob","Blue","['water 1','dragon']"
"Seadra",117,1,117,0.7748344370860927,"['Poison Point', 'Sniper', 'Damp']","water",\N,25,false,55,65,95,95,45,85,440,5120,70,"75","Medium Fast",1.2,50,154,20,true,"Horsea","['Kingdra']",2,"Blob","Blue","['water 1','dragon']"
"Goldeen",118,1,118,0.7814569536423841,"['Swift Swim', 'Water Veil', 'Lightningrod']","water",\N,15,false,45,67,35,60,50,63,320,5120,70,"225","Medium Fast",0.6,50,64,20,true,\N,"['Seaking']",1,"Fish","Red","['water 2']"
"Seaking",119,1,119,0.7880794701986755,"['Swift Swim', 'Water Veil', 'Lightningrod']","water",\N,39,false,80,92,65,65,80,68,450,5120,70,"60","Medium Fast",1.3,50,158,20,false,"Goldeen","[]",1,"Fish","Red","['water 2']"
"Staryu",120,1,120,0.7947019867549668,"['Illuminate', 'Natural Cure', 'Analytic']","water",\N,34.5,false,30,45,70,55,55,85,340,5120,70,"225","Slow",0.8,\N,68,20,true,\N,"['Starmie']",1,"Blob","Brown","['water 3']"
"Starmie",121,1,121,0.8013245033112583,"['Illuminate', 'Natural Cure', 'Analytic']","water","psychic",80,false,60,75,100,85,85,115,520,5120,70,"60","Slow",1.1,\N,182,20,false,"Staryu","[]",1,"Blob","Purple","['water 3']"
"Mr. Mime",122,1,122,0.8079470198675497,"['Soundproof', 'Filter', 'Technician']","psychic","fairy",54.5,false,40,45,100,65,120,90,460,6400,70,"45","Medium Fast",1.3,50,161,25,false,"Mime Jr.","[]",1,"Humanoid","Pink","['human-like']"
"Scyther",123,1,123,0.8145695364238411,"['Swarm', 'Technician', 'Steadfast']","bug","flying",56,false,70,110,55,80,80,105,500,6400,70,"45","Medium Fast",1.5,50,100,25,true,\N,"['Scizor']",1,"Bug-Wings","Green","['bug']"
"Jynx",124,1,124,0.8211920529801324,"['Oblivious', 'Forewarn', 'Dry Skin']","ice","psychic",40.6,false,65,50,115,35,95,95,455,6400,70,"45","Medium Fast",1.4,0,159,25,false,"Smoochum","[]",1,"Humanoid","Red","['human-like']"
"Electabuzz",125,1,125,0.8278145695364238,"['Static', 'Vital Spirit']","electric",\N,30,false,65,83,95,57,85,105,490,6400,70,"45","Medium Fast",1.1,75.4,172,25,true,"Elekid","['Electivire']",2,"Upright","Yellow","['human-like']"
"Magmar",126,1,126,0.8344370860927153,"['Flame Body', 'Vital Spirit']","fire",\N,44.5,false,65,95,100,57,85,93,495,6400,70,"45","Medium Fast",1.3,75.4,173,25,true,"Magby","['Magmortar']",2,"Upright","Red","['human-like']"
"Pinsir",127,1,127,0.8410596026490066,"['Hyper Cutter', 'Mold Breaker', 'Moxie']","bug",\N,55,false,65,125,55,100,70,85,500,6400,70,"45","Slow",1.5,50,175,25,false,\N,"[]",0,"Humanoid","Brown","['bug']"
"Tauros",128,1,128,0.847682119205298,"['Intimidate', 'Anger Point', 'Sheer Force']","normal",\N,88.4,false,75,100,40,95,70,110,490,5120,70,"45","Slow",1.4,100,172,20,false,\N,"[]",0,"Quadruped","Brown","['field']"
"Magikarp",129,1,129,0.8543046357615894,"['Swift Swim', 'Rattled']","water",\N,10,false,20,10,15,55,20,80,200,1280,70,"255","Slow",0.9,50,40,5,true,\N,"['Gyarados']",1,"Fish","Red","['water 2','dragon']"
"Gyarados",130,1,130,0.8609271523178808,"['Intimidate', 'Moxie']","water","flying",235,false,95,125,60,79,100,81,540,1280,70,"45","Slow",6.5,50,189,5,false,"Magikarp","[]",1,"Squiggle","Blue","['water 2','dragon']"
"Lapras",131,1,131,0.8675496688741722,"['Water Absorb', 'Shell Armor', 'Hydration']","water","ice",220,false,130,85,85,80,95,60,535,10240,70,"45","Slow",2.5,50,187,40,false,\N,"[]",0,"Fish","Blue","['monster','water 1']"
"Ditto",132,1,132,0.8741721854304636,"['Limber', 'Imposter']","normal",\N,4,false,48,48,48,48,48,48,288,5120,70,"35","Medium Fast",0.3,\N,101,20,false,\N,"[]",0,"Ball","Purple","['ditto']"
"Eevee",133,1,133,0.8807947019867549,"['Run Away', 'Adaptability', 'Anticipation']","normal",\N,6.5,false,55,55,45,50,65,55,325,8960,70,"45","Medium Fast",0.3,88.1,65,35,true,\N,"['Espeon','Flareon','Glaceon','Jolteon','Leafeon','Sylveon','Umbreon','Vaporeon']",1,"Quadruped","Brown","['field']"
"Vaporeon",134,1,134,0.8874172185430463,"['Water Absorb', 'Hydration']","water",\N,29,false,130,65,110,60,95,65,525,8960,70,"45","Medium Fast",1,88.1,184,35,false,"Eevee","[]",1,"Quadruped","Blue","['field']"
"Jolteon",135,1,135,0.8940397350993378,"['Volt Absorb', 'Quick Feet']","electric",\N,24.5,false,65,65,110,60,95,130,525,8960,70,"45","Medium Fast",0.8,88.1,184,35,false,"Eevee","[]",1,"Quadruped","Yellow","['field']"
"Flareon",136,1,136,0.9006622516556292,"['Flash Fire', 'Guts']","fire",\N,25,false,65,130,95,60,110,65,525,8960,70,"45","Medium Fast",0.9,88.1,184,35,false,"Eevee","[]",1,"Quadruped","Red","['field']"
"Porygon",137,1,137,0.9072847682119205,"['Trace', 'Download', 'Analytic']","normal",\N,36.5,false,65,60,85,70,75,40,395,5120,70,"45","Medium Fast",0.8,\N,79,20,true,\N,"['Porygon2']",2,"Legs","Pink","['mineral']"
"Omanyte",138,1,138,0.9139072847682119,"['Swift Swim', 'Shell Armor', 'Weak Armor']","rock","water",7.5,false,35,40,90,100,55,35,355,7680,70,"45","Medium Fast",0.4,88.1,71,30,true,\N,"['Omastar']",1,"Tentacles","Blue","['water 1','water 3']"
"Omastar",139,1,139,0.9205298013245033,"['Swift Swim', 'Shell Armor', 'Weak Armor']","rock","water",35,false,70,60,115,125,70,55,495,7680,70,"45","Medium Fast",1,88.1,173,30,false,"Omanyte","[]",1,"Tentacles","Blue","['water 1','water 3']"
"Kabuto",140,1,140,0.9271523178807947,"['Swift Swim', 'Battle Armor', 'Weak Armor']","rock","water",11.5,false,30,80,55,90,45,55,355,7680,70,"45","Medium Fast",0.5,88.1,71,30,true,\N,"['Kabutops']",1,"Armor","Brown","['water 1','water 3']"
"Kabutops",141,1,141,0.9337748344370861,"['Swift Swim', 'Battle Armor', 'Weak Armor']","rock","water",40.5,false,60,115,65,105,70,80,495,7680,70,"45","Medium Fast",1.3,88.1,173,30,false,"Kabuto","[]",1,"Upright","Brown","['water 1','water 3']"
"Aerodactyl",142,1,142,0.9403973509933775,"['Rock Head', 'Pressure', 'Unnerve']","rock","flying",59,false,80,105,60,65,75,130,515,8960,70,"45","Slow",1.8,88.1,180,35,false,\N,"[]",0,"Wings","Purple","['flying']"
"Snorlax",143,1,143,0.9470198675496688,"['Immunity', 'Thick Fat', 'Gluttony']","normal",\N,460,false,160,110,65,65,110,30,540,10240,70,"25","Slow",2.1,88.1,189,40,false,"Munchlax","[]",1,"Humanoid","Black","['monster']"
"Articuno",144,1,144,0.9536423841059603,"['Pressure', 'Snow Cloak']","ice","flying",55.4,true,90,85,95,100,125,85,580,20480,35,"3","Slow",1.7,\N,261,80,false,\N,"[]",0,"Wings","Blue","['undiscovered']"
"Zapdos",145,1,145,0.9602649006622517,"['Pressure', 'Static']","electric","flying",52.6,true,90,90,125,85,90,100,580,20480,35,"3","Slow",1.6,\N,261,80,false,\N,"[]",0,"Wings","Yellow","['undiscovered']"
"Moltres",146,1,146,0.9668874172185431,"['Pressure', 'Flame Body']","fire","flying",60,true,90,100,125,90,85,90,580,20480,35,"3","Slow",2,\N,261,80,false,\N,"[]",0,"Wings","Yellow","['undiscovered']"
"Dratini",147,1,147,0.9735099337748344,"['Shed Skin', 'Marvel Scale']","dragon",\N,3.3,false,41,64,50,45,50,50,300,10240,35,"45","Slow",1.8,50,60,40,true,\N,"['Dragonair']",2,"Squiggle","Blue","['water 1','dragon']"
"Dragonair",148,1,148,0.9801324503311258,"['Shed Skin', 'Marvel Scale']","dragon",\N,16.5,false,61,84,70,65,70,70,420,10240,35,"45","Slow",4,50,147,40,true,"Dratini","['Dragonite']",2,"Squiggle","Blue","['water 1','dragon']"
"Dragonite",149,1,149,0.9867549668874173,"['Inner Focus', 'Multiscale']","dragon","flying",210,false,91,134,100,95,100,80,600,10240,35,"45","Slow",2.2,50,270,40,false,"Dragonair","[]",2,"Upright","Brown","['water 1','dragon']"
"Mewtwo",150,1,150,0.9933774834437086,"['Pressure', 'Unnerve']","psychic",\N,122,true,106,110,154,90,90,130,680,30720,0,"3","Slow",2,\N,306,120,false,\N,"[]",0,"Upright","Purple","['undiscovered']"
"Mew",151,1,151,1,"['Synchronize']","psychic",\N,4,true,100,100,100,100,100,100,600,30720,100,"45","Medium Slow",0.4,\N,270,120,false,\N,"[]",0,"Upright","Pink","['undiscovered']"
"Chikorita",152,2,1,0.01,"['Overgrow', 'Leaf Guard']","grass",\N,6.4,false,45,49,49,65,65,45,318,5120,70,"45","Medium Slow",0.9,88.1,64,20,true,\N,"['Bayleef']",2,"Quadruped","Green","['monster','grass']"
"Bayleef",153,2,2,0.02,"['Overgrow', 'Leaf Guard']","grass",\N,15.8,false,60,62,63,80,80,60,405,5120,70,"45","Medium Slow",1.2,88.1,142,20,true,"Chikorita","['Meganium']",2,"Quadruped","Green","['monster','grass']"
"Meganium",154,2,3,0.03,"['Overgrow', 'Leaf Guard']","grass",\N,100.5,false,80,82,83,100,100,80,525,5120,70,"45","Medium Slow",1.8,88.1,236,20,false,"Bayleef","[]",2,"Quadruped","Green","['monster','grass']"
"Cyndaquil",155,2,4,0.04,"['Blaze', 'Flash Fire']","fire",\N,7.9,false,39,52,60,43,50,65,309,5120,70,"45","Medium Slow",0.5,88.1,62,20,true,\N,"['Quilava']",2,"Humanoid","Yellow","['field']"
"Quilava",156,2,5,0.05,"['Blaze', 'Flash Fire']","fire",\N,19,false,58,64,80,58,65,80,405,5120,70,"45","Medium Slow",0.9,88.1,142,20,true,"Cyndaquil","['Typhlosion']",2,"Quadruped","Yellow","['field']"
"Typhlosion",157,2,6,0.06,"['Blaze', 'Flash Fire']","fire",\N,79.5,false,78,84,109,78,85,100,534,5120,70,"45","Medium Slow",1.7,88.1,240,20,false,"Quilava","[]",2,"Quadruped","Yellow","['field']"
"Totodile",158,2,7,0.07,"['Torrent', 'Sheer Force']","water",\N,9.5,false,50,65,44,64,48,43,314,5120,70,"45","Medium Slow",0.6,88.1,63,20,true,\N,"['Croconaw']",2,"Upright","Blue","['monster','water 1']"
"Croconaw",159,2,8,0.08,"['Torrent', 'Sheer Force']","water",\N,25,false,65,80,59,80,63,58,405,5120,70,"45","Medium Slow",1.1,88.1,142,20,true,"Totodile","['Feraligatr']",2,"Upright","Blue","['monster','water 1']"
"Feraligatr",160,2,9,0.09,"['Torrent', 'Sheer Force']","water",\N,88.8,false,85,105,79,100,83,78,530,5120,70,"45","Medium Slow",2.3,88.1,239,20,false,"Croconaw","[]",2,"Upright","Blue","['monster','water 1']"
"Sentret",161,2,10,0.1,"['Run Away', 'Keen Eye', 'Frisk']","normal",\N,6,false,35,46,35,34,45,20,215,3840,70,"255","Medium Fast",0.8,50,43,15,true,\N,"['Furret']",1,"Quadruped","Brown","['field']"
"Furret",162,2,11,0.11,"['Run Away', 'Keen Eye', 'Frisk']","normal",\N,32.5,false,85,76,45,64,55,90,415,3840,70,"90","Medium Fast",1.8,50,145,15,false,"Sentret","[]",1,"Quadruped","Brown","['field']"
"Hoothoot",163,2,12,0.12,"['Insomnia', 'Keen Eye', 'Tinted Lens']","normal","flying",21.2,false,60,30,36,30,56,50,262,3840,70,"255","Medium Fast",0.7,50,52,15,true,\N,"['Noctowl']",1,"Wings","Brown","['flying']"
"Noctowl",164,2,13,0.13,"['Insomnia', 'Keen Eye', 'Tinted Lens']","normal","flying",40.8,false,100,50,86,50,96,70,452,3840,70,"90","Medium Fast",1.6,50,158,15,false,"Hoothoot","[]",1,"Wings","Brown","['flying']"
"Ledyba",165,2,14,0.14,"['Swarm', 'Early Bird', 'Rattled']","bug","flying",10.8,false,40,20,40,30,80,55,265,3840,70,"255","Fast",1,50,53,15,true,\N,"['Ledian']",1,"Wings","Red","['bug']"
"Ledian",166,2,15,0.15,"['Swarm', 'Early Bird', 'Iron Fist']","bug","flying",35.6,false,55,35,55,50,110,85,390,3840,70,"90","Fast",1.4,50,137,15,false,"Ledyba","[]",1,"Wings","Red","['bug']"
"Spinarak",167,2,16,0.16,"['Swarm', 'Insomnia', 'Sniper']","bug","poison",8.5,false,40,60,40,40,40,30,250,3840,70,"255","Fast",0.5,50,50,15,true,\N,"['Ariados']",1,"Armor","Green","['bug']"
"Ariados",168,2,17,0.17,"['Swarm', 'Insomnia', 'Sniper']","bug","poison",33.5,false,70,90,60,70,70,40,400,3840,70,"90","Fast",1.1,50,140,15,false,"Spinarak","[]",1,"Armor","Red","['bug']"
"Crobat",169,2,18,0.18,"['Inner Focus', 'Infiltrator']","poison","flying",75,false,85,90,70,80,80,130,535,3840,70,"90","Medium Fast",1.8,50,241,15,false,"Golbat","[]",2,"Bug-Wings","Purple","['flying']"
"Chinchou",170,2,19,0.19,"['Volt Absorb', 'Illuminate', 'Water Absorb']","water","electric",12,false,75,38,56,38,56,67,330,5120,70,"190","Slow",0.5,50,66,20,true,\N,"['Lanturn']",1,"Fish","Blue","['water 2']"
"Lanturn",171,2,20,0.2,"['Volt Absorb', 'Illuminate', 'Water Absorb']","water","electric",22.5,false,125,58,76,58,76,67,460,5120,70,"75","Slow",1.2,50,161,20,false,"Chinchou","[]",1,"Fish","Blue","['water 2']"
"Pichu",172,2,21,0.21,"['Static', 'Lightningrod']","electric",\N,2,false,20,40,35,15,35,60,205,2560,70,"190","Medium Fast",0.3,50,41,10,true,\N,"['Pikachu']",2,"Quadruped","Yellow","['undiscovered']"
"Cleffa",173,2,22,0.22,"['Cute Charm', 'Magic Guard', 'Friend Guard']","fairy",\N,3,false,50,25,45,28,55,15,218,2560,140,"150","Fast",0.3,24.6,44,10,true,\N,"['Clefairy']",2,"Upright","Pink","['undiscovered']"
"Igglybuff",174,2,23,0.23,"['Cute Charm', 'Competitive', 'Friend Guard']","normal","fairy",1,false,90,30,40,15,20,15,210,2560,70,"170","Fast",0.3,24.6,42,10,true,\N,"['Jigglypuff']",2,"Humanoid","Pink","['undiscovered']"
"Togepi",175,2,24,0.24,"['Hustle', 'Serene Grace', 'Super Luck']","fairy",\N,1.5,false,35,20,40,65,65,20,245,2560,70,"190","Fast",0.3,88.1,49,10,true,\N,"['Togetic']",2,"Humanoid","White","['undiscovered']"
"Togetic",176,2,25,0.25,"['Hustle', 'Serene Grace', 'Super Luck']","fairy","flying",3.2,false,55,40,80,85,105,40,405,2560,70,"75","Fast",0.6,88.1,142,10,true,"Togepi","['Togekiss']",2,"Humanoid","White","['flying','fairy']"
"Natu",177,2,26,0.26,"['Synchronize', 'Early Bird', 'Magic Bounce']","psychic","flying",2,false,40,50,70,45,45,70,320,5120,70,"190","Medium Fast",0.2,50,64,20,true,\N,"['Xatu']",1,"Wings","Green","['flying']"
"Xatu",178,2,27,0.27,"['Synchronize', 'Early Bird', 'Magic Bounce']","psychic","flying",15,false,65,75,95,70,70,95,470,5120,70,"75","Medium Fast",1.5,50,165,20,false,"Natu","[]",1,"Wings","Green","['flying']"
"Mareep",179,2,28,0.28,"['Static', 'Plus']","electric",\N,7.8,false,55,40,65,40,45,35,280,5120,70,"235","Medium Slow",0.6,50,56,20,true,\N,"['Flaaffy']",2,"Quadruped","White","['monster','field']"
"Flaaffy",180,2,29,0.29,"['Static', 'Plus']","electric",\N,13.3,false,70,55,80,55,60,45,365,5120,70,"120","Medium Slow",0.8,50,128,20,true,"Mareep","['Ampharos']",2,"Upright","Pink","['monster','field']"
"Ampharos",181,2,30,0.3,"['Static', 'Plus']","electric",\N,61.5,false,90,75,115,85,90,55,510,5120,70,"45","Medium Slow",1.4,50,230,20,false,"Flaaffy","[]",2,"Upright","Yellow","['monster','field']"
"Bellossom",182,2,31,0.31,"['Chlorophyll', 'Healer']","grass",\N,5.8,false,75,80,90,95,100,50,490,5120,70,"45","Medium Slow",0.4,50,221,20,false,"Gloom","[]",2,"Humanoid","Green","['grass']"
"Marill",183,2,32,0.32,"['Thick Fat', 'Huge Power', 'Sap Sipper']","water","fairy",8.5,false,70,20,20,50,50,40,250,2560,70,"190","Fast",0.4,50,88,10,true,"Azurill","['Azumarill']",2,"Upright","Blue","['water 1','fairy']"
"Azumarill",184,2,33,0.33,"['Thick Fat', 'Huge Power', 'Sap Sipper']","water","fairy",28.5,false,100,50,60,80,80,50,420,2560,70,"75","Fast",0.8,50,189,10,false,"Marill","[]",2,"Upright","Blue","['water 1','fairy']"
"Sudowoodo",185,2,34,0.34,"['Sturdy', 'Rock Head', 'Rattled']","rock",\N,38,false,70,100,30,115,65,30,410,5120,70,"65","Medium Fast",1.2,50,144,20,false,"Bonsly","[]",1,"Humanoid","Brown","['mineral']"
"Politoed",186,2,35,0.35,"['Water Absorb', 'Damp', 'Drizzle']","water",\N,33.9,false,90,75,90,75,100,70,500,5120,70,"45","Medium Slow",1.1,50,225,20,false,"Poliwhirl","[]",2,"Humanoid","Green","['water 1']"
"Hoppip",187,2,36,0.36,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']","grass","flying",0.5,false,35,35,35,40,55,50,250,5120,70,"255","Medium Slow",0.4,50,50,20,true,\N,"['Skiploom']",2,"Upright","Pink","['fairy','grass']"
"Skiploom",188,2,37,0.37,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']","grass","flying",1,false,55,45,45,50,65,80,340,5120,70,"120","Medium Slow",0.6,50,119,20,true,"Hoppip","['Jumpluff']",2,"Upright","Green","['fairy','grass']"
"Jumpluff",189,2,38,0.38,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']","grass","flying",3,false,75,55,55,70,95,110,460,5120,70,"45","Medium Slow",0.8,50,207,20,false,"Skiploom","[]",2,"Upright","Blue","['fairy','grass']"
"Aipom",190,2,39,0.39,"['Run Away', 'Pickup', 'Skill Link']","normal",\N,11.5,false,55,70,40,55,55,85,360,5120,70,"45","Fast",0.8,50,72,20,true,\N,"['Ambipom']",1,"Upright","Purple","['field']"
"Sunkern",191,2,40,0.4,"['Chlorophyll', 'Solar Power', 'Early Bird']","grass",\N,1.8,false,30,30,30,30,30,30,180,5120,70,"235","Medium Slow",0.3,50,36,20,true,\N,"['Sunflora']",1,"Ball","Yellow","['grass']"
"Sunflora",192,2,41,0.41,"['Chlorophyll', 'Solar Power', 'Early Bird']","grass",\N,8.5,false,75,75,105,55,85,30,425,5120,70,"120","Medium Slow",0.8,50,149,20,false,"Sunkern","[]",1,"Humanoid","Yellow","['grass']"
"Yanma",193,2,42,0.42,"['Speed Boost', 'Compoundeyes', 'Frisk']","bug","flying",38,false,65,65,75,45,45,95,390,5120,70,"75","Medium Fast",1.2,50,78,20,true,\N,"['Yanmega']",1,"Bug-Wings","Red","['bug']"
"Wooper",194,2,43,0.43,"['Damp', 'Water Absorb', 'Unaware']","water","ground",8.5,false,55,45,25,45,25,15,210,5120,70,"255","Medium Fast",0.4,50,42,20,true,\N,"['Quagsire']",1,"Legs","Blue","['water 1','field']"
"Quagsire",195,2,44,0.44,"['Damp', 'Water Absorb', 'Unaware']","water","ground",75,false,95,85,65,85,65,35,430,5120,70,"90","Medium Fast",1.4,50,151,20,false,"Wooper","[]",1,"Upright","Blue","['water 1','field']"
"Espeon",196,2,45,0.45,"['Synchronize', 'Magic Bounce']","psychic",\N,26.5,false,65,65,130,60,95,110,525,8960,70,"45","Medium Fast",0.9,88.1,184,35,false,"Eevee","[]",1,"Quadruped","Purple","['field']"
"Umbreon",197,2,46,0.46,"['Synchronize', 'Inner Focus']","dark",\N,27,false,95,65,60,110,130,65,525,8960,35,"45","Medium Fast",1,88.1,184,35,false,"Eevee","[]",1,"Quadruped","Black","['field']"
"Murkrow",198,2,47,0.47,"['Insomnia', 'Super Luck', 'Prankster']","dark","flying",2.1,false,60,85,85,42,42,91,405,5120,35,"30","Medium Slow",0.5,50,81,20,true,\N,"['Honchkrow']",1,"Wings","Black","['flying']"
"Slowking",199,2,48,0.48,"['Oblivious', 'Own Tempo', 'Regenerator']","water","psychic",79.5,false,95,75,100,80,110,30,490,5120,70,"70","Medium Fast",2,50,172,20,false,"Slowpoke","[]",1,"Upright","Pink","['monster','water 1']"
"Misdreavus",200,2,49,0.49,"['Levitate']","ghost",\N,1,false,60,60,85,60,85,85,435,6400,35,"45","Fast",0.7,50,87,25,true,\N,"['Mismagius']",1,"Ball","Gray","['amorphous']"
"Unown",201,2,50,0.5,"['Levitate']","psychic",\N,5,false,48,72,72,48,48,48,336,10240,70,"225","Medium Fast",0.5,\N,118,40,false,\N,"[]",0,"Ball","Black","['undiscovered']"
"Wobbuffet",202,2,51,0.51,"['Shadow Tag', 'Telepathy']","psychic",\N,28.5,false,190,33,33,58,58,33,405,5120,70,"45","Medium Fast",1.3,50,142,20,false,"Wynaut","[]",1,"Blob","Blue","['amorphous']"
"Girafarig",203,2,52,0.52,"['Inner Focus', 'Early Bird', 'Sap Sipper']","normal","psychic",41.5,false,70,80,90,65,65,85,455,5120,70,"60","Medium Fast",1.5,50,159,20,false,\N,"[]",0,"Quadruped","Yellow","['field']"
"Pineco",204,2,53,0.53,"['Sturdy', 'Overcoat']","bug",\N,7.2,false,50,65,35,90,35,15,290,5120,70,"190","Medium Fast",0.6,50,58,20,true,\N,"['Forretress']",1,"Ball","Gray","['bug']"
"Forretress",205,2,54,0.54,"['Sturdy', 'Overcoat']","bug","steel",125.8,false,75,90,60,140,60,40,465,5120,70,"75","Medium Fast",1.2,50,163,20,false,"Pineco","[]",1,"Ball","Purple","['bug']"
"Dunsparce",206,2,55,0.55,"['Serene Grace', 'Run Away', 'Rattled']","normal",\N,14,false,100,70,65,70,65,45,415,5120,70,"190","Medium Fast",1.5,50,145,20,false,\N,"[]",0,"Squiggle","Yellow","['field']"
"Gligar",207,2,56,0.56,"['Hyper Cutter', 'Sand Veil', 'Immunity']","ground","flying",64.8,false,65,75,35,105,65,85,430,5120,70,"60","Medium Slow",1.1,50,86,20,true,\N,"['Gliscor']",1,"Wings","Purple","['bug']"
"Steelix",208,2,57,0.57,"['Rock Head', 'Sturdy', 'Sheer Force']","steel","ground",400,false,75,85,55,200,65,30,510,6400,70,"25","Medium Fast",9.2,50,179,25,false,"Onix","[]",1,"Squiggle","Gray","['mineral']"
"Snubbull",209,2,58,0.58,"['Intimidate', 'Run Away', 'Rattled']","fairy",\N,7.8,false,60,80,40,50,40,30,300,5120,70,"190","Fast",0.6,24.6,60,20,true,\N,"['Granbull']",1,"Humanoid","Pink","['field','fairy']"
"Granbull",210,2,59,0.59,"['Intimidate', 'Quick Feet', 'Rattled']","fairy",\N,48.7,false,90,120,60,75,60,45,450,5120,70,"75","Fast",1.4,24.6,158,20,false,"Snubbull","[]",1,"Upright","Purple","['field','fairy']"
"Qwilfish",211,2,60,0.6,"['Poison Point', 'Swift Swim', 'Intimidate']","water","poison",3.9,false,65,95,55,85,55,85,440,5120,70,"45","Medium Fast",0.5,50,88,20,false,\N,"[]",0,"Fish","Gray","['water 2']"
"Scizor",212,2,61,0.61,"['Swarm', 'Technician', 'Light Metal']","bug","steel",118,false,70,130,55,100,80,65,500,6400,70,"25","Medium Fast",1.8,50,175,25,false,"Scyther","[]",1,"Bug-Wings","Red","['bug']"
"Shuckle",213,2,62,0.62,"['Sturdy', 'Gluttony', 'Contrary']","bug","rock",20.5,false,20,10,10,230,230,5,505,5120,70,"190","Medium Slow",0.6,50,177,20,false,\N,"[]",0,"Armor","Yellow","['bug']"
"Heracross",214,2,63,0.63,"['Swarm', 'Guts', 'Moxie']","bug","fighting",54,false,80,125,40,75,95,85,500,6400,70,"45","Slow",1.5,50,175,25,false,\N,"[]",0,"Humanoid","Blue","['bug']"
"Sneasel",215,2,64,0.64,"['Inner Focus', 'Keen Eye', 'Pickpocket']","dark","ice",28,false,55,95,35,55,75,115,430,5120,35,"60","Medium Slow",0.9,50,86,20,true,\N,"['Weavile']",1,"Upright","Black","['field']"
"Teddiursa",216,2,65,0.65,"['Pickup', 'Quick Feet', 'Honey Gather']","normal",\N,8.8,false,60,80,50,50,50,40,330,5120,70,"120","Medium Fast",0.6,50,66,20,true,\N,"['Ursaring']",1,"Upright","Brown","['field']"
